iter	Passed	Remaining
283	2787	7026
284	2796	7016
285	2804	7001
286	2813	6989
287	2821	6974
288	2830	6964
289	2839	6951
290	2847	6937
291	2857	6927
292	2867	6919
293	2877	6910
294	2887	6899
295	2896	6888
296	2906	6879
297	2916	6869
298	2928	6865
299	2938	6856
300	2947	6845
301	2957	6834
302	2967	6826
303	2978	6819
304	2988	6809
305	2998	6799
306	3008	6790
307	3016	6778
308	3026	6767
309	3038	6762
310	3045	6748
311	3055	6737
312	3064	6727
313	3073	6713
314	3082	6703
315	3091	6691
316	3102	6684
317	3115	6681
318	3124	6669
319	3134	6659
320	3143	6649
321	3153	6640
322	3161	6626
323	3170	6614
324	3182	6608
325	3194	6604
326	3203	6592
327	3212	6581
328	3220	6569
329	3229	6557
330	3236	6542
331	3245	6529
332	3252	6514
333	3260	6501
334	3268	6487
335	3277	6476
336	3284	6462
337	3293	6451
338	3301	6436
339	3309	6424
340	3318	6412
341	3326	6400
342	3333	6385
343	3342	6373
344	3350	6361
345	3358	6348
346	3366	6335
347	3374	6323
348	3382	6309
349	3390	6297
350	3399	6285
351	3408	6274
352	3415	6260
353	3423	6247
354	3431	6234
355	3439	6221
356	3447	6209
357	3456	6198
358	3464	6185
359	3473	6175
360	3481	6161
361	3489	6149
362	3497	6137
363	3505	6125
364	3513	6112
365	3521	6099
366	3528	6085
367	3536	6073
368	3546	6064
369	3556	6054
370	3567	6048
371	3577	6039
372	3586	6028
373	3595	6017
374	3602	6004
375	3613	5997
376	3621	5985
377	3628	5971
378	3636	5958
379	3648	5952
380	3658	5943
381	3666	5931
382	3674	5919
383	3681	5905
384	3689	5893
385	3697	5881
386	3705	5870
387	3713	5857
388	3721	5844
389	3728	5832
390	3736	5820
391	3746	5810
392	3754	5798
393	3762	5787
394	3771	5776
395	3780	5766
396	3789	5756
397	3796	5742
398	3805	5732
399	3813	5719
400	3822	5709
401	3831	5699
402	3840	5688
403	3847	5676
404	3856	5665
405	3863	5652
406	3871	5641
407	3878	5628
408	3888	5618
409	3896	5607
410	3904	5595
411	3913	5585
412	3921	5573
413	3929	5562
414	3937	5549
415	3946	5540
416	3956	5531
417	3964	5519
418	3971	5507
419	3979	5495
420	3987	5483
421	3995	5473
422	4004	5461
423	4013	5451
424	4020	5439
425	4028	5428
426	4036	5416
427	4044	5405
428	4052	5394
429	4060	5382
430	4067	5370
431	4076	5359
432	4085	5349
433	4094	5340
434	4104	5331
435	4114	5322
436	4123	5312
437	4132	5302
438	4142	5294
439	4151	5283
440	4163	5277
441	4173	5269
442	4184	5261
443	4195	5253
444	4205	5244
445	4212	5233
446	4221	5222
447	4229	5210
448	4237	5200
449	4245	5188
450	4253	5177
451	4260	5165
452	4268	5154
453	4276	5142
454	4283	5131
455	4291	5120
456	4300	5110
457	4308	5098
458	4316	5087
459	4324	5077
460	4332	5065
461	4340	5054
462	4348	5043
463	4356	5032
464	4366	5023
465	4373	5011
466	4382	5002
467	4391	4991
468	4400	4982
469	4407	4969
470	4415	4959
471	4423	4948
472	4432	4938
473	4440	4927
474	4448	4916
475	4456	4905
476	4465	4895
477	4472	4884
478	4481	4874
479	4489	4863
480	4497	4852
481	4504	4841
482	4512	4830
483	4520	4819
484	4551	4833
485	4565	4828
486	4576	4820
487	4586	4811
488	4593	4800
489	4600	4788
490	4609	4778
491	4617	4767
492	4628	4760
493	4638	4751
494	4645	4739
495	4654	4729
496	4661	4717
497	4669	4707
498	4677	4696
499	4687	4687
500	4695	4676
501	4702	4664
502	4709	4653
503	4719	4644
504	4726	4633
505	4734	4622
506	4742	4611
507	4750	4601
508	4758	4589
509	4769	4582
510	4779	4573
511	4787	4562
512	4795	4552
513	4803	4542
514	4812	4531
515	4819	4520
516	4827	4509
517	4834	4498
518	4841	4486
519	4849	4476
520	4857	4465
521	4865	4455
522	4874	4445
523	4882	4435
524	4891	4425
525	4898	4414
526	4907	4404
527	4916	4395
528	4924	4384
529	4932	4374
530	4939	4363
531	4946	4351
532	4956	4342
533	4962	4330
534	4971	4321
535	4978	4309
536	4986	4299
537	4993	4288
538	5001	4277
539	5008	4266
540	5016	4256
541	5024	4245
542	5031	4234
543	5039	4224
544	5048	4214
545	5056	4204
546	5067	4196
547	5075	4186
548	5084	4176
549	5092	4166
550	5100	4156
551	5108	4145
552	5115	4134
553	5122	4124
554	5130	4113
555	5140	4104
556	5149	4095
557	5158	4085
558	5168	4077
559	5177	4067
560	5186	4058
561	5195	4049
562	5204	4039
563	5214	4030
564	5222	4020
565	5232	4012
566	5240	4002
567	5247	3991
568	5255	3980
569	5264	3971
570	5272	3961
571	5281	3951
572	5289	3941
573	5297	3931
574	5305	3921
575	5313	3911
576	5320	3900
577	5330	3891
578	5338	3881
579	5345	3871
580	5353	3860
581	5361	3851
582	5369	3840
583	5376	3829
584	5382	3818
585	5390	3808
586	5397	3797
587	5405	3787
588	5413	3777
589	5422	3768
590	5429	3757
591	5438	3747
592	5445	3737
593	5454	3728
594	5461	3717
595	5469	3707
596	5476	3696
597	5484	3687
598	5491	3676
599	5511	3674
600	5519	3664
601	5527	3654
602	5535	3644
603	5543	3634
604	5551	3624
605	5559	3614
606	5566	3604
607	5573	3593
608	5581	3583
609	5588	3572
610	5597	3563
611	5606	3554
612	5614	3544
613	5621	3534
614	5629	3524
615	5636	3513
616	5643	3503
617	5650	3492
618	5657	3482
619	5664	3472
620	5671	3461
621	5679	3451
622	5687	3441
623	5695	3432
624	5702	3421
625	5710	3411
626	5717	3401
627	5725	3391
628	5732	3381
629	5741	3372
630	5749	3362
631	5757	3352
632	5764	3342
633	5771	3331
634	5779	3322
635	5787	3312
636	5793	3301
637	5800	3291
638	5808	3281
639	5815	3271
640	5823	3261
641	5831	3251
642	5847	3246
643	5856	3237
644	5865	3228
645	5873	3218
646	5879	3207
647	5886	3197
648	5893	3187
649	5900	3177
650	5908	3167
651	5917	3158
652	5923	3147
653	5930	3137
654	5936	3127
655	5944	3117
656	5951	3106
657	5958	3096
658	5966	3087
659	5974	3077
660	5982	3068
661	5990	3058
662	5997	3048
663	6005	3038
664	6012	3028
665	6019	3018
666	6027	3009
667	6033	2998
668	6044	2990
669	6053	2981
670	6061	2972
671	6067	2961
672	6076	2952
673	6083	2942
674	6090	2932
675	6097	2922
676	6103	2911
677	6110	2902
678	6119	2892
679	6127	2883
680	6136	2874
681	6144	2865
682	6153	2855
683	6160	2846
684	6167	2835
685	6175	2826
686	6182	2816
687	6190	2807
688	6196	2797
689	6204	2787
690	6210	2777
691	6218	2767
692	6225	2758
693	6234	2748
694	6242	2739
695	6252	2730
696	6260	2721
697	6268	2712
698	6275	2702
699	6283	2692
700	6289	2682
701	6297	2673
702	6304	2663
703	6311	2653
704	6318	2643
705	6325	2634
706	6333	2624
707	6340	2615
708	6348	2605
709	6356	2596
710	6364	2586
711	6371	2577
712	6378	2567
713	6385	2557
714	6393	2548
715	6400	2538
716	6406	2528
717	6415	2519
718	6423	2510
719	6430	2500
720	6436	2490
721	6444	2481
722	6451	2471
723	6459	2462
724	6466	2452
725	6473	2443
726	6480	2433
727	6487	2423
728	6495	2414
729	6503	2405
730	6512	2396
731	6518	2386
732	6526	2377
733	6533	2367
734	6540	2358
735	6547	2348
736	6555	2339
737	6562	2329
738	6569	2320
739	6576	2310
740	6586	2302
741	6594	2292
742	6601	2283
743	6609	2274
744	6616	2264
745	6624	2255
746	6630	2245
747	6639	2236
748	6646	2227
749	6654	2218
750	6661	2208
751	6669	2199
752	6678	2190
753	6686	2181
754	6692	2171
755	6702	2163
756	6708	2153
757	6718	2144
758	6726	2135
759	6736	2127
760	6745	2118
761	6753	2109
762	6759	2099
763	6767	2090
764	6774	2081
765	6783	2072
766	6791	2063
767	6799	2054
768	6807	2044
769	6815	2035
770	6824	2026
771	6833	2018
772	6841	2009
773	6850	2000
774	6857	1990
775	6864	1981
776	6871	1972
777	6878	1962
778	6888	1954
779	6896	1945
780	6904	1936
781	6912	1927
782	6920	1917
783	6928	1908
784	6936	1899
785	6943	1890
786	6949	1881
787	6958	1872
788	6965	1862
789	6973	1853
790	6981	1844
791	6990	1835
792	6997	1826
793	7006	1817
794	7014	1808
795	7025	1800
796	7034	1791
797	7041	1782
798	7050	1773
799	7059	1764
800	7066	1755
801	7074	1746
802	7087	1738
803	7103	1731
804	7132	1727
805	7145	1719
806	7155	1711
807	7164	1702
808	7171	1693
809	7178	1683
810	7186	1674
811	7195	1666
812	7203	1656
813	7211	1647
814	7218	1638
815	7226	1629
816	7235	1620
817	7244	1611
818	7252	1602
819	7262	1594
820	7271	1585
821	7280	1576
822	7289	1567
823	7297	1558
824	7307	1550
825	7316	1541
826	7323	1532
827	7331	1522
828	7340	1514
829	7348	1505
830	7356	1496
831	7365	1487
832	7373	1478
833	7381	1469
834	7389	1460
835	7397	1451
836	7406	1442
837	7413	1433
838	7422	1424
839	7430	1415
840	7439	1406
841	7447	1397
842	7456	1388
843	7463	1379
844	7473	1370
845	7481	1361
846	7488	1352
847	7495	1343
848	7505	1334
849	7513	1325
850	7520	1316
851	7529	1307
852	7537	1298
853	7545	1289
854	7554	1281
855	7563	1272
856	7573	1263
857	7580	1254
858	7587	1245
859	7596	1236
860	7603	1227
861	7611	1218
862	7619	1209
863	7626	1200
864	7633	1191
865	7641	1182
866	7650	1173
867	7658	1164
868	7666	1155
869	7674	1146
870	7682	1137
871	7689	1128
872	7698	1119
873	7707	1111
874	7715	1102
875	7722	1093
876	7729	1084
877	7736	1075
878	7745	1066
879	7752	1057
880	7759	1048
881	7767	1039
882	7774	1030
883	7780	1020
884	7788	1012
885	7795	1003
886	7803	994
887	7811	985
888	7819	976
889	7827	967
890	7835	958
891	7842	949
892	7849	940
893	7856	931
894	7864	922
895	7871	913
896	7878	904
897	7886	895
898	7894	886
899	7902	878
900	7909	869
901	7916	860
902	7923	851
903	7929	842
904	7936	833
905	7943	824
906	7950	815
907	7957	806
908	7964	797
909	7971	788
910	7978	779
911	7986	770
912	7992	761
913	8000	752
914	8009	744
915	8017	735
916	8024	726
917	8033	717
918	8039	708
919	8048	699
920	8054	690
921	8061	682
922	8069	673
923	8077	664
924	8084	655
925	8091	646
926	8098	637
927	8121	630
928	8129	621
929	8136	612
930	8143	603
931	8150	594
932	8157	585
933	8164	576
934	8172	568
935	8178	559
936	8185	550
937	8192	541
938	8199	532
939	8205	523
940	8213	514
941	8220	506
942	8227	497
943	8234	488
944	8241	479
945	8247	470
946	8254	461
947	8261	453
948	8268	444
949	8274	435
950	8281	426
951	8288	417
952	8296	409
953	8304	400
954	8311	391
955	8318	382
956	8326	374
957	8333	365
958	8341	356
959	8348	347
960	8355	339
961	8361	330
962	8368	321
963	8375	312
964	8382	304
965	8389	295
966	8396	286
967	8403	277
968	8410	269
969	8416	260
970	8423	251
971	8430	242
972	8437	234
973	8444	225
974	8451	216
975	8459	208
976	8465	199
977	8472	190
978	8480	181
979	8499	173
980	8513	164
981	8523	156
982	8531	147
983	8545	138
984	8553	130
985	8559	121
986	8566	112
987	8573	104
988	8580	95
989	8587	86
990	8594	78
991	8601	69
992	8608	60
993	8614	52
994	8622	43
995	8629	34
996	8636	25
997	8643	17
998	8649	8
999	8657	0
