iter	RMSE
363	79443.05611
364	79433.30177
365	79428.17541
366	79421.94945
367	79415.09695
368	79407.71587
369	79400.54932
370	79393.28192
371	79380.96295
372	79371.09148
373	79361.35228
374	79354.90652
375	79343.57568
376	79329.45113
377	79317.79795
378	79307.88816
379	79295.10861
380	79292.11331
381	79287.3091
382	79280.65701
383	79275.92248
384	79264.38058
385	79259.45354
386	79251.91723
387	79238.87057
388	79229.88242
389	79222.58751
390	79214.49226
391	79207.5455
392	79202.36859
393	79195.57826
394	79191.52918
395	79177.46224
396	79169.27484
397	79163.95616
398	79155.30764
399	79147.36918
400	79136.38041
401	79127.84425
402	79120.06459
403	79114.24165
404	79105.63134
405	79100.2553
406	79095.85047
407	79084.79329
408	79079.95334
409	79069.59939
410	79056.76258
411	79046.99336
412	79040.94416
413	79036.75727
414	79027.46651
415	79019.27763
416	79010.8515
417	79005.12217
418	78999.47515
419	78991.79661
420	78984.99708
421	78977.73972
422	78974.26719
423	78967.47584
424	78952.97856
425	78945.40639
426	78937.09038
427	78927.41643
428	78915.40029
429	78911.37011
430	78904.32027
431	78896.92534
432	78889.03827
433	78881.7495
434	78875.64721
435	78869.78976
436	78865.80437
437	78859.45442
438	78851.89002
439	78839.69894
440	78828.77775
441	78822.35675
442	78818.78552
443	78810.09252
444	78804.11907
445	78799.33668
446	78793.25739
447	78782.73843
448	78776.04072
449	78771.89538
450	78762.92947
451	78753.42655
452	78745.3586
453	78738.04568
454	78727.54175
455	78722.22991
456	78714.41192
457	78703.686
458	78697.77003
459	78691.34946
460	78685.33117
461	78673.67971
462	78664.04386
463	78655.06513
464	78648.8185
465	78637.70672
466	78628.1979
467	78619.90032
468	78613.43316
469	78602.07566
470	78597.49261
471	78588.28548
472	78582.00787
473	78580.7007
474	78576.33451
475	78570.64607
476	78558.1517
477	78547.82641
478	78542.60099
479	78534.56398
480	78524.2911
481	78521.01216
482	78513.98057
483	78504.28812
484	78494.37191
485	78487.0748
486	78481.80666
487	78481.12229
488	78472.56093
489	78466.37977
490	78457.40771
491	78447.49691
492	78442.70768
493	78436.03962
494	78434.99642
495	78422.66818
496	78417.30253
497	78410.49087
498	78404.27829
499	78398.51743
500	78393.7106
501	78385.06762
502	78377.00547
503	78376.20669
504	78370.30273
505	78362.6824
506	78355.00017
507	78342.22354
508	78334.95446
509	78329.8954
510	78320.50924
511	78314.55263
512	78309.38757
513	78299.98982
514	78288.28266
515	78280.11449
516	78277.10145
517	78270.41846
518	78265.67203
519	78264.65218
520	78259.21953
521	78252.52666
522	78244.78815
523	78235.19939
524	78231.00339
525	78226.95243
526	78219.83676
527	78217.33025
528	78210.8089
529	78201.99649
530	78190.31191
531	78182.69696
532	78173.764
533	78169.21492
534	78163.39507
535	78162.07494
536	78153.77054
537	78152.26258
538	78149.14033
539	78142.24395
540	78134.60063
541	78128.57275
542	78123.50332
543	78115.89545
544	78110.33181
545	78104.08003
546	78092.16235
547	78085.10482
548	78075.70337
549	78068.00161
550	78060.11637
551	78049.49226
552	78042.14479
553	78031.39086
554	78023.40256
555	78015.84913
556	78007.42772
557	78001.95708
558	77998.24588
559	77991.81577
560	77984.64681
561	77979.60327
562	77970.65384
563	77963.66125
564	77954.41843
565	77948.73717
566	77941.96432
567	77933.60797
568	77928.76584
569	77920.85978
570	77915.55879
571	77907.56029
572	77895.64471
573	77888.68743
574	77882.15736
575	77876.05865
576	77869.17792
577	77860.1978
578	77849.95983
579	77845.04727
580	77836.52789
581	77831.19082
582	77823.56557
583	77818.53505
584	77815.5802
585	77803.39811
586	77791.7668
587	77787.4686
588	77784.82384
589	77778.41284
590	77774.02406
591	77769.26276
592	77764.33347
593	77758.8605
594	77752.25091
595	77743.74638
596	77735.32614
597	77729.68325
598	77724.96662
599	77721.88979
600	77716.17391
601	77709.39548
602	77701.45713
603	77700.77497
604	77699.79175
605	77693.37372
606	77686.99815
607	77681.78508
608	77674.06776
609	77665.56382
610	77658.8472
611	77651.67064
612	77643.20142
613	77637.17796
614	77631.57021
615	77620.02515
616	77615.82081
617	77609.69782
618	77605.46062
619	77597.1533
620	77590.25085
621	77579.42523
622	77572.42182
623	77567.74563
624	77558.76943
625	77553.50919
626	77547.03379
627	77543.9264
628	77541.35236
629	77534.7487
630	77525.49488
631	77518.8611
632	77515.31864
633	77509.59911
634	77506.39396
635	77500.6173
636	77495.17378
637	77490.01362
638	77485.02219
639	77481.3214
640	77473.66715
641	77464.58422
642	77458.75212
643	77451.37446
644	77442.11141
645	77433.77045
646	77428.07356
647	77421.49893
648	77415.16269
649	77409.29827
650	77402.85087
651	77396.29256
652	77389.24504
653	77383.84985
654	77378.84016
655	77374.73432
656	77370.92261
657	77367.36862
658	77363.20029
659	77354.55957
660	77343.23227
661	77337.20706
662	77329.9189
663	77323.61893
664	77315.35812
665	77314.38943
666	77308.54071
667	77299.79424
668	77294.68821
669	77288.94969
670	77283.85629
671	77279.33224
672	77273.97673
673	77269.6473
674	77263.04382
675	77256.6885
676	77249.54854
677	77246.13501
678	77241.72486
679	77238.08921
680	77231.03908
681	77223.9538
682	77220.40072
683	77214.50347
684	77209.04692
685	77204.01466
